hop_name	hop_purpose	country	link	Citrus	TropicalFruit	StoneFruit	Berry	Floral	Grassy	Herbal	Spice	Pine	aroma_tags
Tillicum	Bittering	United States of America	https://beermaverick.com/hop/tillicum/	NA	NA	NA	NA	NA	NA	NA	NA	NA	#stone_fruit, #citrus
TNT Blend	Aroma	United States of America	https://beermaverick.com/hop/tnt-blend/	NA	NA	NA	NA	NA	NA	NA	NA	NA	#fruity, #citrus, #green_fruit
Tomahawk	Dual	United States of America	https://beermaverick.com/hop/tomahawk/	1	0	0	0	0	0	3	4	0	#citrus, #black_pepper, #licorice, #curry, #onion
Trident	Dual	United States of America	https://beermaverick.com/hop/trident/	4	4	4	2	2	0	1	1	1	#fruity, #citrus, #tropical_fruit, #passion_fruit
TriplePearl	Dual	United States of America	https://beermaverick.com/hop/triplepearl/	NA	NA	NA	NA	NA	NA	NA	NA	NA	#orange, #citrus, #zest, #melon, #resin, #spicy, #black_pepper, #sandalwood, #cedar, #floral
Triumph	Dual	United States of America	https://beermaverick.com/hop/triumph/	2	1	1	3	3	0	1	4	4	#spicy, #pine, #orange, #peach, #lime, #fruity, #citrus
Tropica	Dual	United States of America	https://beermaverick.com/hop/tropica/	NA	NA	NA	NA	NA	NA	NA	NA	NA	#pineapple, #mandarin, #orange, #tropical_fruit, #dank
Ultra	Aroma	United States of America	https://beermaverick.com/hop/ultra/	NA	NA	NA	NA	NA	NA	NA	NA	NA	#mild, #pleasant, #floral
USDA 008	Dual	United States of America	https://beermaverick.com/hop/usda-008/	1	2	2	1	1	1	2	0	0	#floral, #citrus, #sweet_fruit, #peach, #mango, #stonefruit
Vanguard	Aroma	United States of America	https://beermaverick.com/hop/vanguard/	2	3	3	3	0	0	3	0	0	#woody, #tobacco, #pleasant, #grassy, #cedar
Vista	Dual	United States of America	https://beermaverick.com/hop/vista/	4	0	1	0	1	1	2	0	0	#tropical_fruit, #tangerine, #melon, #pear, #green_tea, #citrus, #sweet, #floral
Walhalla	Aroma	United States of America	https://beermaverick.com/hop/walhalla/	NA	NA	NA	NA	NA	NA	NA	NA	NA	#citrus, #garlic, #grassy, #herbal
Warrior	Dual	United States of America	https://beermaverick.com/hop/warrior/	2	0	0	0	2	0	1	3	3	#pine, #mild, #resin
Wild Wolf	Dual	United States of America	https://beermaverick.com/hop/wild-wolf/	NA	NA	NA	NA	NA	NA	NA	NA	NA	#fruity, #herbal, #earthy
Willamette	Dual	United States of America	https://beermaverick.com/hop/willamette/	2	0	0	0	2	0	3	4	1	#citrus, #incense, #elderberry, #caramel, #curry, #floral
X13459	Aroma	United States of America	https://beermaverick.com/hop/x13459/	4	3	3	3	4	0	1	0	0	#floral, #tropical_fruit, #peach, #citrus, #strawberry
Yakima Cluster	Bittering	United States of America	https://beermaverick.com/hop/yakima-cluster/	NA	NA	NA	NA	NA	NA	NA	NA	NA	#earthy, #floral, #sweet, #fruity
Yakima Gold	Dual	United States of America	https://beermaverick.com/hop/yakima-gold/	NA	NA	NA	NA	NA	NA	NA	NA	NA	#smooth, #grapefruit, #lemon
YQH-1380	Dual	United States of America	https://beermaverick.com/hop/yqh-1320/	3	2	4	1	1	1	1	3	0	#pineapple, #guava, #lime, #peach, #orange
Zamba Blend	Aroma	United States of America	https://beermaverick.com/hop/zamba/	4	5	3	0	1	0	1	1	0	#mango, #stone_fruit, #orange, #tangerine, #pineapple
Zappa	Aroma	United States of America	https://beermaverick.com/hop/zappa/	1	4	3	1	1	0	0	2	1	#mint, #savory, #fruity, #mango, #passion_fruit, #tropical_fruit, #citrus, #pine, #spicy, #fresh
Zenia	Dual	United States of America	https://beermaverick.com/hop/zenia/	NA	NA	NA	NA	NA	NA	NA	NA	NA	#dank, #resin, #orange, #onion, #citrus, #fruity, #pine, #marmalade, #garlic
Zenith	Bittering	United States of America	https://beermaverick.com/hop/zenith/	NA	NA	NA	NA	NA	NA	NA	NA	NA	#floral, #citrus
Zeus	Bittering	United States of America	https://beermaverick.com/hop/zeus/	1	0	0	0	0	0	3	4	0	#black_pepper, #licorice, #curry, #pungent
Zythos	Dual	United States of America	https://beermaverick.com/hop/zythos/	NA	NA	NA	NA	NA	NA	NA	NA	NA	#tangerine, #citrus, #floral, #pine, #grapefruit, #tropical_fruit
